nid,n_nid_1,n_nid_2,n_nid_3,n_nid_4,n_nid_5,n_nid_6,n_relation_1,n_relation_2,n_relation_3,n_relation_4,n_relation_5,n_relation_6,age,sex
303080,303079.0,403187.0,403058.0,,,,1.0,11.0,11.0,,,,70.0,2.0
303081,,403317.0,403301.0,403305.0,403307.0,402139.0,,5.0,5.0,5.0,5.0,5.0,67.0,2.0
303083,303084.0,403281.0,403282.0,403280.0,,,1.0,5.0,5.0,5.0,,,74.0,2.0
303084,303083.0,402306.0,402305.0,,,,1.0,11.0,11.0,,,,74.0,1.0
303085,303086.0,400283.0,,,,,1.0,5.0,,,,,77.0,2.0
303086,303085.0,403235.0,400286.0,403233.0,400283.0,403234.0,1.0,8.0,8.0,5.0,5.0,5.0,80.0,1.0
303087,303088.0,303012.0,303039.0,,,,1.0,10.0,10.0,,,,72.0,1.0
303088,303087.0,303024.0,303028.0,303081.0,303027.0,,1.0,11.0,10.0,11.0,11.0,,61.0,2.0
303113,303089.0,303021.0,303096.0,303034.0,,,1.0,10.0,10.0,10.0,,,75.0,1.0
303089,303113.0,303021.0,303034.0,,,,1.0,10.0,10.0,,,,69.0,2.0
303091,303090.0,,,,,,1.0,,,,,,70.0,2.0
303116,,303124.0,303122.0,301021.0,301022.0,,,5.0,6.0,12.0,12.0,,78.0,2.0
303117,303092.0,403160.0,403263.0,403338.0,,,1.0,11.0,11.0,11.0,,,65.0,1.0
303093,,403291.0,303040.0,303060.0,303074.0,303016.0,,5.0,10.0,10.0,10.0,10.0,77.0,2.0
303094,303095.0,403273.0,,,,,1.0,5.0,,,,,88.0,1.0
303095,303094.0,303103.0,303093.0,303040.0,303060.0,,1.0,10.0,10.0,10.0,10.0,,78.0,2.0
303096,303097.0,303060.0,303093.0,,,,1.0,11.0,11.0,,,,79.0,2.0
303097,303096.0,,,,,,1.0,,,,,,84.0,1.0
303172,,303166.0,,,,,,5.0,,,,,61.0,2.0
303098,304002.0,303168.0,305078.0,,,,1.0,10.0,10.0,,,,60.0,1.0
